company_dunsum,avg_fed_contract,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_avg_fed_contract,top2_avg_fed_contract,top3_avg_fed_contract,top4_avg_fed_contract,top5_avg_fed_contract
1986702,4921.734,179915277,624227559,830990172,57697807,22807550,4921,4920,4920,4923.78,4924.91
1990878,17616.04,611245549,945163509,21628771,67829580,807787143,17615,17617.1666666667,17614.18,17622.6666666667,17625
2000511,52790.12,6249338,8582595,926684788,111587580,556064442,52784.585,52804.1,52760.5,52838,52730
2002228,17925.33,122141047,11382799,831596882,76690122,57477994,17920,17935.2,17908.3333333333,17949.95,17900
2004570,217278.868333333,69412794,794757935,1270859,957317936,38994083,217160,217469.008,217740,216816.155,217818.95
2006021,51426,101776490,79542016,128729373,884405085,139137983,51415.72,51479.2,51367.432,51540.9283333333,51551.412
2007870,96814.5633333333,828133368,2188324,858426443,785137154,11580302,96867.0016666667,96884,96919.1,96958.4933333334,96653.25
2008886,17247.16,45782067,112791223,830701277,35922157,83594056,17250,17250,17250,17254.0625,17240
2011380,317818.376666667,99983835,849735360,828084801,145407818,46035213,317864,318255,317321,317076.5,317019.883333333
2011385,19677,54552856,53296778,88665393,11824729,147587240,19676,19681.74,19684.4,19669.5,19685
2012516,12123296.675,615217486,1707900,53050980,192193647,64677243,12096982.8175,12251716.21,11985135.39,11945340.3933333,11932588.535
2012722,112542.541666667,783747251,147900872,11268554,63162812,166655253,112540,112467.52,112464.01,112461.13,112624.083333333
2013522,3340949.845,112373324,61323663,829246409,83171244,7901598,3339181.622,3337719.976,3359084.124,3365696.355,3310900.55166667
2022655,55975.5583333333,121360627,939243655,157628525,78736721,78519715,55973.355,55959.04,55922.525,56040,56040
2022721,79405.4933333333,153872643,2803786,9328442,144940272,830438599,79406.57,79397.1,79439.8933333333,79478.3,79511.5533333333
2027514,70362.89,10945178,12839747,787663892,38480042,96863055,70370.975,70346.91,70394.932,70300,70257.5
2136877,17502135.0183333,938799491,76094218,799660597,9997602,128499808,17490585.38,17728279.554,17749040.36,17153541.8583333,17877561.8525
2137297,366415,139396779,75523811,190029269,81466849,926335209,366650,367125,365657.3,367432.713333333,367535.886666667
2138568,1011095.435,126067227,617022384,809495976,144458932,85170392,1011373.63666667,1012191.41666667,1009775.75,1012560.565,1013344.68833333
2138972,12582.8,364470831,105974450,128510745,81981953,878427442,12582.5,12592,12572.185,12594,12598.08
2139517,45812.6916666667,72124605,780415378,625537097,962777145,556082209,45834.2,45787,45750,45884.596,45721.8333333333
2139715,12799.57,113429489,31369572,75809459,134893689,602304149,12800,12800,12800,12800,12798
2139830,7264.9475,21072244,118847982,1360494,188414924,85723943,7266,7266.67,7260,7260,7270
2140390,246751.368333333,606727402,1774736,29389033,140039392,802835095,246736.386666667,246734.466666667,246856.3025,246620.222,247000
2140499,68841.12,6247126,101702413,227042850,603632498,606223191,68820.9766666667,68805.8333333333,68747.735,68956.735,69015.445
2142941,13099.0416666667,808517093,72649791,26285192,194912846,878887215,13100.42,13096.97,13093.3333333333,13105,13110
2143923,68206.2875,61342838,120439869,615378007,841159242,126452502,68231.5,68278.32,68320.11,68325,68350
2144145,1420414.365,121257708,42939277,64681021,36163228,77070951,1420884.145,1420997.285,1423075.54333333,1424680.94833333,1426573.64333333
2145811,39281.975,361501869,131309580,962396243,41694431,11296536,39300,39330,39216.2,39214,39200
2146850,12323.13,148054609,783518871,60805116,24712122,617589700,12320.55,12331.6666666667,12312,12311.4,12311.06
2147023,482245.87,780582008,878915073,82017521,627009152,17609749,482313.5,481999,482572,481822.3975,483288.175
2147858,8357.428,87284659,51263309,177960275,8056202,45953718,8355,8360,8354.36,8361.77,8352
2148690,4171.79,134762934,36577617,90042115,76881627,780555942,4173.74,4174,4175,4175,4175.04
2149508,41741.9333333333,69051241,23183671,183199660,40753410,81953544,41714.6666666667,41707.45,41682.5,41680,41808.254
2149656,571214.593333333,34987663,87075974,967600573,32366945,166754726,570701,570186.4,569994.16,572841.001666667,569171.256666667
2150795,10632.375,24384723,616920104,32532418,627761153,626806319,10631.5,10641.6,10621.04,10646.425,10615
2152809,22796.5175,85669638,786169524,147431522,73668386,69889467,22800,22800,22791.46,22787.832,22806.3333333333
2153914,259849.673333333,134248751,843957650,53515230,826924839,33277208,259889.8,259973.273333333,259981.29,259640.84,259503.06
2154045,1162553.73666667,79125809,114715266,15631039,44828457,2196400,1162623.05,1161154.48833333,1159630.07333333,1158283.69,1171283.59
2154425,2629040.318,95344755,52819013,825216083,71541614,790750462,2640909.005,2650112,2604229.53666667,2655464.85,2657048.665
2154771,275456.2,113071039,86438152,832738806,105670108,76955772,275675.6325,275213.918,274944.378,276000,276245.5
2154854,49107.48,27662414,803421965,1355817,75263541,967488581,49131,49143,49143.78,49053.8475,49045.915
2155232,1302,800436268,46825977,967974150,3158979,67486050,1300,1300,1300,1299.75,1299.48
2156792,31453,791818149,104275172,119902534,145683640,805646861,31447.66,31446.3333333333,31440.9866666667,31475.8833333333,31478.64
2157097,343976.82,61346953,2148120,20282419,184074946,2448181,343851.828333333,344466.333333333,343072,344943.338,345324.998
2157394,105386.588,938370566,797901522,832720358,800454774,788104946,105391,105339.346666667,105287.0975,105493.013333333,105539.866666667
2157782,353481.735,150596419,72702715,361776243,826927050,56607708,353591.413333333,353172.761666667,353803.535,353945.353333333,354026.192
2159077,19282.0116666667,605981950,1293950,119839082,177282886,847927498,19279.835,19287.51,19291.78,19264.3866666667,19300
2159796,52471.526,788852288,833063055,957460280,883634941,60815649,52469.6666666667,52486,52489.23,52500,52443
2159978,382520.423333333,941895989,932096969,71279798,161496674,21976048,381750,381687,383400,381622.3175,380693.8
2160158,1628361.06,90546628,101442002,931739213,145689746,193942604,1626362.87833333,1630373.552,1633503.26833333,1633899.795,1622263.17166667
2160778,146335,805412665,174195180,967264990,122679228,135174832,146395.241666667,146124.826666667,146107.036666667,146082.235,146628.93
2161438,29056.3333333333,615230927,790723506,66856238,1767763,154452528,29038.895,29076.6666666667,29025,29090.29,29021
2161834,58506.9883333333,19804678,608151056,22609898,179570403,11495629,58508.3333333333,58500,58498.37,58450.08,58430.62
2162162,706066.173333333,171334175,157427238,148547610,181414512,63212377,705533.93,706783.49,705091.015,704811.93,707344.871666667
2163178,-59051.27,926888223,195207787,101913833,24952165,841432388,-58356.9,-61000,-56324.36,-62722.0366666667,-63350
2165025,54770.585,23601987,185481967,26713687,162371590,78423197,54766.325,54780.625,54756,54795,54795.36
2165314,148783.13,966507378,858428118,790472240,4677399,8896591,148776.666666667,148697.995,148920.34,148935.7175,148627.5
2167872,24395.84,63369219,41751546,78312008,37407777,1950005,24400,24411.51,24414.9,24438.83,24352.65
2170314,222998.656666667,793275504,121170653,38090390,170780295,95758405,222880.615,223198.823333333,222708.4,222644.148333333,222329.173333333
2170876,160625.753333333,929804102,614369783,62302112,56289721,2355022,160675.25,160570.153333333,160685.548,160762.89,160804.426666667
2171213,7753.0625,25845702,110480394,19915511,11533361,11174335,7750,7749.005,7760.7033333333,7745,7745
2172237,246143.88,808986207,806765702,969998207,48797252,140039392,246254,245985.831666667,245847.21,246480.98,246620.222
2173664,73173.945,139752575,89476055,603702416,785569240,620864504,73213.2266666667,73133.95,73260,73296.26,73302.89
2173672,66299.9316666667,622591717,930897090,931524243,10332831,15002723,66300,66346.886,66246.1666666667,66356.57,66224.6666666667
2174506,11587.5,118069699,968794706,603038571,111900932,965718781,11580.28,11596.875,11575.2,11600,11600
2174647,546298.723333333,801231635,193953726,805766529,187931717,102225005,546532,547027.895,547855,543902.4,549050.333333333
2175123,11406.0325,101443943,2236906,795428544,616679049,137355512,11403.945,11400,11400,11394.6,11390
2175313,-2250,154044978,834615064,848539631,2326775,3219615,-2250,-2220,-2208,-2297.59,-2327.86
2176428,0,69884849,130058340,138552133,186799409,362000275,0,0,0,0,0
2176741,72069.4416666667,784101243,803352884,112118315,613465806,607117892,72060,72101.2,72026.66,72014.5,72125
2177368,56495.1816666667,123398542,85231350,8260234,171606549,3653771,56500,56458.5825,56457.58,56456,56450
2177665,850265,106931488,85256282,5536698,134510648,26206149,850985.913333333,851059.925,853510.16,854184.573333333,845400
2178739,4403.6875,831326819,99266546,154279822,103977526,1937218,4402,4400,4400,4400,4400
2179661,240695.156,624993684,6254833,938657004,52204864,968796495,240473.24,241053.655,240214.784,240027.7475,239990
2180255,7933.5,57155616,85874667,11920683,787567924,144683625,7934.535,7938,7928.85,7928.7233333333,7925
2180461,2250,831222935,73483539,33575002,784237500,4645714,2250,2249.375,2249,2245,2256.78
2181733,11736,193287968,623076627,144280088,41668935,3732393,11737.425,11734.39,11739.824,11741,11741.77
2182228,21737.615,45255726,52543956,838278000,61962358,798704581,21745.4675,21750,21725,21711.6966666667,21779.9125
2182269,3365,19767879,151608916,15511629,828569777,187129135,3366.81,3362.04,3362,3368.21,3360.1
2182335,32145.82,781083662,15814219,808679773,59010363,125734405,32135.835,32130,32164.5433333333,32119.225,32111.74
2182749,633.646,832563121,78359326,626616853,805691628,21468673,629.9,640.9,642,625,624
2185551,3986925.855,113188770,1947357,167164057,127892995,171596716,3974255.96166667,4006910.86333333,3963314.775,4015128.12166667,3942646.97333333
2185957,2661099.6,790750462,71541614,52819013,628068686,622033892,2657048.665,2655464.85,2650112,2676998.645,2679099.605
2186666,9411.775,139681001,23690026,927588897,22567908,11515756,9411.12,9414,9418,9405.365,9420
2186989,47985.218,808435239,189202401,943013842,613855873,127608060,47988,47973.01,48000,48000,48000
2188035,1524060.96333333,883778136,867742355,111759572,943955633,131699167,1524341.9225,1523130.445,1526044.79333333,1518016.02666667,1530191.622
2188639,4248.7,15416271,118434059,91391441,806960170,162415215,4248.86,4250,4250,4250,4250.81
2188886,1594.7325,78893264,14866070,116358347,79298904,962592424,1600,1600,1600,1600,1586.5
2190908,27143.716,51154354,798129722,801885013,11878378,78804710,27140,27128.465,27162.375,27114.25,27189
2193001,11145,80239986,4497452,806813242,787666643,7280647,11144.19,11149.24,11137.06,11133.13,11158.715
2194280,130676.81,145039207,110290041,791684863,51497972,797938099,130672.658333333,130682.494,130650.435,130719,130853.636666667
2196400,1171283.59,606222552,964778690,958004517,145012154,7914989,1172253.58,1174019.75,1176687.44,1177419.61666667,1179553.48666667
2200111,117968065.141667,123800919,931221258,796028165,834530086,6983548,117913159,111484293.11,110914643.223333,102889539.836667,101460867.511667
2201499,14420,825686199,808381685,868095969,45790367,44402980,14424.4366666667,14427.5,14405.44,14434.6666666667,14400
2206832,95592.9333333333,962949517,942292210,965750446,796477222,4082814,95557.3533333333,95498.5,95697.5,95710.17,95712.1416666667
2245798,27500,2561868,39420901,142366090,85625200,844283148,27500,27500,27508.48,27508.84,27490
2267920,300428.618333333,790603943,789785425,938685963,8255853,148062529,300695.4,300000,300000,300000,301139.394
2268399,14680.1,149983632,361457539,809132140,141874615,190182782,14683.5,14691.606,14662.5,14700,14659
2272045,40886.5,110294022,963294124,89251227,29612611,87660080,40879.5,40854.32,40922.78,40802.1375,40975.5
2286961,404681.688333333,94241056,193444080,867704561,831697656,160002937,404511.64,405136.495,403962.216666667,403905.44,405529.115
2291532,330585.75,67372748,51999725,790162481,835392051,19812593,330582.5,330676.275,330153.785,331137,330000
2298339,41565,1280981,832896430,70429132,91785477,968481648,41570,41600,41525,41518.22,41515.82
2299725,531622.44,619122955,175749431,867054462,610003899,14727671,531208.775,529739.12,533914.796666667,536890.86,537023.25
2300051,110459.6175,556915130,150982189,106529662,786457689,185743655,110449.66,110350.211666667,110639.97,110224.4,110728.05
2322568,16657.08,3247442,6249189,876271727,3125973,948392600,16662,16652.01,16668,16644,16644
2326668,191521.833333333,932617434,111430224,158440144,179012620,113890615,191554.203333333,191577.445,191417.25,191640.8,191666.666666667
2332591,21240.576,941709610,611762626,193928249,626115872,827134995,21248,21248.72,21250,21257.5566666667,21266.6666666667
2333870,505021.965,615422995,129914078,154310478,808409473,621929525,505213,504804.0725,506400.571666667,503600.585,506837
2339885,56624.4966666667,363574158,66327305,123398542,2177368,159998632,56666,56691.25,56500,56495.1816666667,56760.7566666667
2349256,657846.218333333,602750762,828070370,71013379,53462326,555646830,658100,658194.613333333,657397.508333333,657028.666666667,656277.4625
2350270,7963.875,17632654,801426839,825583412,152713608,189480304,7965,7959.165,7970,7956.6666666667,7972.2
2352425,577207.468333333,793655155,19979132,112991815,5342258,96074500,577144.593333333,576877.521666667,576576.25,576560.596666667,576492.245
2354165,3753738.84833333,826300142,141543061,98486020,6928857,40841306,3747007.23666667,3746968.78,3738450.185,3733399.115,3777534.85666667
2356368,218553.8,114370096,800740123,557163537,555862510,38994083,218500,218471.16,218170,219230,217818.95
2357549,15200694.6166667,5149120,70226105,60085776,78295199,787336085,15296893.6016667,15419024.5,15570488.36,15609299.144,15803119.13
2357739,8139.63,606613065,72655012,54330972,53397386,960258536,8137.72,8134.99,8130,8150,8129
2360535,671551.45,145452954,603888384,24848251,50573450,14706365,671297,672322.078,672605.03,670234.085,670172.713333333
2362770,3092.25,884751447,62227160,40541828,12190971,361158918,3094.11,3087.5,3097.6,3098.7,3084.9966666667
2363505,7036.21,940525710,938299450,175965206,153646245,197794068,7035.9,7038.21,7039.76,7043.04,7028.5
2370955,113886.42,829258412,156389780,962525056,12484366,197197437,113961.05,114043.958333333,113701.21,113697.736666667,113684.5
2371359,516954.9725,85648988,832362722,795566769,3918679,30464796,516549.118333333,515473.012,514450.29,519584.215,514226.07
2373637,33354.4625,625123257,92218213,11439346,809566693,70279872,33365.82,33370.425,33375.3333333333,33380.765,33325
2374692,11084.9666666667,11588530,90966342,614375975,197495026,965400737,11085.83,11090,11096,11073,11100
2386274,8760776.70833333,199309118,197138274,791039329,136127482,70285432,8717167.38666667,8714528.635,8885335,8627061.49833333,8914108.25
2395382,824308.02,49868482,612907159,965404242,5430026,101695757,824627.541666667,825470.955,820953.4325,828305.386666667,818494.138333333
2454205,74811.554,131369357,607690989,21717681,31077352,827077194,74783.48,74844.03,74752.77,74891.675,74701.125
2454874,22442.02,787689132,805784337,68679679,602590064,21045872,22440,22435.375,22450,22431,22430
2456960,26299.85,963395368,70941877,782824387,193771029,30104165,26300,26305.2,26291.975,26291.375,26280
2457273,197394.1,788125958,136665549,960897429,830193780,792535937,197476.02,197479.495,197139.333333333,197665.7,197117.28
2459170,2331288.89333333,806418075,316642552,883728297,85693042,103097556,2329424.64666667,2334572.5,2315156.91,2348264.885,2308290.64166667
2460772,2190602.02,832461417,832499516,802266218,144967028,144993750,2188508.26,2193661.322,2200000,2171764.875,2214754.96333333
2481919,251934.956666667,831562322,780637484,791209872,798622911,226436996,252073.04,251726.32,251708.5,252249.7575,252387.36
2483063,3984,847701521,3091907,830680612,37098043,18287552,3986,3986.22,3986.64,3980,3990.8
2483345,15975,243651288,6257448,75788851,192060796,173765488,15978.2,15980,15965.5133333333,15961.476,15960.625
