company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
964085609,2,64295934,830575101,131560935,119704054,831531285,2,1,1,1,1,0,0.5,0.5,0.5,0.5
58317863,1,1885953,968852749,7938207,847927498,806756552,1,1,1,1,1,0,0,0,0,0
75420380,1,15184534,835563974,123787736,786538561,618257146,1,1,1,1,1,0,0,0,0,0
602750762,1,76668581,143310675,557232258,883503054,92538073,1,1,1,1,1,0,0,0,0,0
625184572,2,77331325,612687459,143635477,68704576,801710070,3,3,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333
72704224,1,795925911,134762934,193287968,81894156,948701743,1,1,1,1,1,0,0,0,0,0
17237827,1,612539135,2163178,11478401,2300051,878914340,1,3,1,5,3,1,1,1,1,1
840454854,1,56690530,16793213,604395665,11202033,612157271,1,1,1,1,1,0,0,0,0,0
33501763,2,2562080,114714871,827566832,623342854,608545807,1,1,1,5,6,0.5,0.5,0.5,0.8333333333,0.8571428571
2147023,7,73737822,1643170,77331325,194800426,53057972,5,5,3,7,7,0.5,0.5,0.5714285714,0.6,0.6
809352156,1,133418371,614767403,6645683,790254312,784472409,1,1,1,1,1,0,0,0,0,0
964791763,2,71681691,12681135,794024216,556549160,623206646,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
144556222,1,757122424,607710873,186139903,78465065,829684518,1,1,1,1,1,0,0,0,0,0
1917749,1,65795759,958675667,32482965,79327581,184507262,1,1,1,1,1,0,0,0,0,0
68701713,1,858778442,14005016,146645168,69045771,80951007,1,1,2,2,2,0,0,0.5,0.5,0.5
798704581,3,85702652,840454854,607131083,62506134,56690530,2,1,1,1,1,0.3333333333,0.6666666667,0.6666666667,0.6666666667,0.6666666667
5574330,1,155561806,181118738,53307435,125871405,827149183,1,1,1,1,1,0,0,0,0,0
113074918,3,798318598,879929078,32093028,56696347,54730858,4,2,2,2,2,0.25,0.3333333333,0.3333333333,0.3333333333,0.3333333333
2919165,1,15146988,69029635,98215833,187633615,51947034,1,3,6,7,17,0,0.6666666667,0.8333333333,0.8571428571,0.9411764706
801352712,1,782430560,612907159,40006012,787060685,46859745,1,1,1,1,1,0,0,0,0,0
122682917,1,616381794,77544922,187969915,828343736,144457504,1,1,1,1,1,0,0,0,0,0
